uniqueID,genus,species,det_by,sex,date_determined,taxonomy_note,,,,,,,
104,Hoplitis,producta,CA,F,25viii2021,,,,,,,,
105,Andrena,dunningi_nivalis,JF,F,xi2021,,,,,,,,
106,Andrena,sp_seeTN,JF,F,xi2021,Andrena s. str.,,,,,,,
107,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
108,Bombus,terricola,SL,F,19i2021,,,,,,,,
109,Bombus,vagans,SL,F,20i2021,,,,,,,,
110,Andrena,sp_seeTN,,F,xi2021,Trachandrena,,,,,,,
111,Bombus,ternaris,SL,M,20i2021,,,,,,,,
112,Heriades,carinata,CA,F,23iii2021,,,,,,,,
113,Bombus,vagans,SL,F,20i2021,,,,,,,,
114,Lasioglossum,,,,21i2021,,,,,,,,
115,Lasioglossum,,,,21i2021,,,,,,,,
116,Lasioglossum,,,,21i2021,,,,,,,,
117,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
118,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
119,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
120,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
121,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
122,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
123,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
124,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
125,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
126,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
127,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
128,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
129,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
130,Bombus,rufocinctus,SL,F,20i2021,,,,,,,,
131,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
132,Lasioglossum,,,,21i2021,,,,,,,,
133,Lasioglossum,,,,21i2021,,,,,,,,
134,Lasioglossum,,,,21i2021,,,,,,,,
135,Lasioglossum,,,,21i2021,,,,,,,,
136,Lasioglossum,,,,21i2021,,,,,,,,
137,Lasioglossum,,,,21i2021,,,,,,,,
138,Lasioglossum,,,,21i2021,,,,,,,,
139,Lasioglossum,,,,21i2021,,,,,,,,
140,Lasioglossum,,,,21i2021,,,,,,,,
141,Lasioglossum,,,,21i2021,,,,,,,,
142,Lasioglossum,,,,21i2021,,,,,,,,
143,Lasioglossum,,,,21i2021,,,,,,,,
144,Lasioglossum,,,,21i2021,,,,,,,,
145,Lasioglossum,,,,21i2021,,,,,,,,
146,Lasioglossum,,,,21i2021,,,,,,,,
147,Lasioglossum,,,,21i2021,,,,,,,,
148,Lasioglossum,,,,21i2021,,,,,,,,
149,Lasioglossum,,,,21i2021,,,,,,,,
150,Lasioglossum,,,,21i2021,,,,,,,,
151,Lasioglossum,,,,21i2021,,,,,,,,
152,Lasioglossum,,,,21i2021,,,,,,,,
153,No bee,,,,21i2021,,,,,,,,
154,Lasioglossum,,,,21i2021,,,,,,,,
155,Lasioglossum,,,,21i2021,,,,,,,,
156,Lasioglossum,,,,21i2021,,,,,,,,
157,Lasioglossum,,,,21i2021,,,,,,,,
158,Lasioglossum,,,,21i2021,,,,,,,,
159,Lasioglossum,,,,21i2021,,,,,,,,
160,Lasioglossum,,,,21i2021,,,,,,,,
161,Bombus,impatiens,SL,F,19i2021,,,,,,,,
162,Bombus,impatiens,SL,F,19i2021,,,,,,,,
163,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
